account_id,churn_score,risk_level,MRR,quadrant,action_recommandee
A-2e4581,0.9,medium,826.7142857142857,Q2 - Action automatisée,Email automatisé de relance
A-43a9e3,0.26,low,1250.5,Q4 - Stable,Aucune action prioritaire
A-0a282f,0.62,low,1219.0666666666666,Q2 - Action automatisée,Email automatisé de relance
A-1f0ac7,0.97,high,1498.2,Q2 - Action automatisée,Email automatisé de relance
A-ce550d,0.84,low,3383.75,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-1b9609,0.87,medium,1528.1818181818182,Q2 - Action automatisée,Email automatisé de relance
A-a0ca4e,0.64,low,1848.111111111111,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-e5d6ab,0.95,high,1330.1666666666667,Q2 - Action automatisée,Email automatisé de relance
A-7dacce,0.82,low,2305.7,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-10b8da,0.1,low,1464.5,Q4 - Stable,Aucune action prioritaire
A-592832,0.83,low,3555.8,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-d40bf7,0.24,low,4324.7,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-6c093d,0.24,low,1353.5,Q4 - Stable,Aucune action prioritaire
A-462d45,0.88,medium,2023.375,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-956988,0.92,medium,1919.9166666666667,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-ac14bb,0.85,low,3468.25,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-463db0,0.87,medium,2088.5,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-ce66f8,0.32,low,1976.3333333333333,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-c4ea60,0.17,low,1627.3333333333333,Q4 - Stable,Aucune action prioritaire
A-832ec2,0.75,low,703.0,Q2 - Action automatisée,Email automatisé de relance
A-684255,0.9,medium,554.5,Q2 - Action automatisée,Email automatisé de relance
A-c42f1f,0.33,low,646.875,Q4 - Stable,Aucune action prioritaire
A-4e44e8,0.89,medium,2174.5,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-30b4ca,0.97,high,10614.857142857143,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-9f2731,0.95,high,516.1428571428571,Q2 - Action automatisée,Email automatisé de relance
A-32fb14,0.96,high,487.6666666666667,Q2 - Action automatisée,Email automatisé de relance
A-00cac8,0.26,low,1569.0,Q4 - Stable,Aucune action prioritaire
A-35083d,0.11,low,2027.0625,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-eb7fac,0.9,medium,6113.666666666667,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-b20d99,0.98,high,2180.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-396e5f,0.93,medium,1021.5,Q2 - Action automatisée,Email automatisé de relance
A-45ce7a,0.31,low,1173.7142857142858,Q4 - Stable,Aucune action prioritaire
A-08e34e,0.98,high,708.75,Q2 - Action automatisée,Email automatisé de relance
A-8145a0,1.0,high,0.0,Q2 - Action automatisée,Email automatisé de relance
A-bad8c1,0.98,high,1722.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-44dc83,0.96,high,114.0,Q2 - Action automatisée,Email automatisé de relance
A-f446b6,0.19,low,1265.7777777777778,Q4 - Stable,Aucune action prioritaire
A-a45270,0.86,medium,2154.1111111111113,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-854864,0.96,high,4219.5,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-1b7577,0.21,low,797.3636363636364,Q4 - Stable,Aucune action prioritaire
A-05f0e5,0.54,low,4259.083333333333,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-9077b0,0.24,low,509.2857142857143,Q4 - Stable,Aucune action prioritaire
A-7f8241,0.5,low,2634.4,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-2bc93d,0.69,low,3384.5,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-f3ff05,0.96,high,2066.777777777778,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-2d4502,0.96,high,392.0,Q2 - Action automatisée,Email automatisé de relance
A-6a4e2d,0.94,medium,1023.7777777777778,Q2 - Action automatisée,Email automatisé de relance
A-eb7c38,0.98,high,0.0,Q2 - Action automatisée,Email automatisé de relance
A-c37601,0.96,high,538.0,Q2 - Action automatisée,Email automatisé de relance
A-3b5cd1,0.91,medium,1054.2,Q2 - Action automatisée,Email automatisé de relance
A-b2225d,0.73,low,2561.5,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-94f8c9,0.9,medium,1074.6666666666667,Q2 - Action automatisée,Email automatisé de relance
A-02fac6,0.8,low,2513.3333333333335,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-c1dfe1,0.92,medium,2392.6,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-32728c,0.84,low,528.5714285714286,Q2 - Action automatisée,Email automatisé de relance
A-4c38bc,0.29,low,3003.75,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-1b707d,1.0,high,0.0,Q2 - Action automatisée,Email automatisé de relance
A-6f8ad2,0.13,low,1525.1764705882354,Q4 - Stable,Aucune action prioritaire
A-4d1e75,0.96,high,0.0,Q2 - Action automatisée,Email automatisé de relance
A-9ee962,0.75,low,1046.6666666666667,Q2 - Action automatisée,Email automatisé de relance
A-378b99,0.65,low,937.0,Q2 - Action automatisée,Email automatisé de relance
A-94d3da,0.79,low,1526.111111111111,Q2 - Action automatisée,Email automatisé de relance
A-e351e1,0.96,high,717.75,Q2 - Action automatisée,Email automatisé de relance
A-9badbd,0.16,low,2498.230769230769,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-7e0a10,0.86,medium,3020.6666666666665,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-118d55,0.85,low,1939.6666666666667,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-526d93,0.89,medium,3545.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-f92792,0.82,low,1999.6666666666667,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-84ebe4,0.98,high,2701.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-5b4ebb,0.19,low,2138.6923076923076,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-2922b6,0.96,high,1937.8,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-9b9fe9,0.84,low,491.875,Q2 - Action automatisée,Email automatisé de relance
A-a8b49c,0.9,medium,495.3333333333333,Q2 - Action automatisée,Email automatisé de relance
A-9174e0,0.3,low,3598.4,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-a1bbb6,0.4,low,1800.25,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-c45b23,0.98,high,246.66666666666663,Q2 - Action automatisée,Email automatisé de relance
A-02cd81,0.95,high,418.0,Q2 - Action automatisée,Email automatisé de relance
A-ee42db,0.83,low,999.7272727272727,Q2 - Action automatisée,Email automatisé de relance
A-432483,0.36,low,2868.1111111111113,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-9208f0,0.84,low,438.875,Q2 - Action automatisée,Email automatisé de relance
A-98a59a,0.89,medium,2821.0,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-fe79a5,0.27,low,1353.2,Q4 - Stable,Aucune action prioritaire
A-726cfa,0.86,medium,1337.642857142857,Q2 - Action automatisée,Email automatisé de relance
A-c43359,0.91,medium,1655.7142857142858,Q2 - Action automatisée,Email automatisé de relance
A-271f46,0.66,low,1621.3333333333333,Q2 - Action automatisée,Email automatisé de relance
A-157070,0.58,low,1719.125,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-40a557,0.99,high,0.0,Q2 - Action automatisée,Email automatisé de relance
A-66224b,0.19,low,5765.333333333333,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-91e948,0.2,low,3127.714285714286,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-104f1a,0.87,medium,1799.1666666666667,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-7988d1,0.69,low,1188.0,Q2 - Action automatisée,Email automatisé de relance
A-faa28c,0.86,medium,3601.7,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-f25509,0.99,high,3759.75,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-3a7284,0.91,medium,3090.909090909091,Q1 - Priorité maximale,Appel CSM immédiat sous 24h
A-3a5ad8,0.26,low,2207.769230769231,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-65a46c,0.22,low,2834.375,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-8b25f2,0.3,low,1080.6153846153843,Q4 - Stable,Aucune action prioritaire
A-fabe19,0.33,low,2928.1428571428573,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-adc1f3,0.26,low,2956.4444444444443,Q3 - Surveiller,"Suivi mensuel, offre fidélisation"
A-503d5a,0.23,low,1490.3333333333333,Q4 - Stable,Aucune action prioritaire
A-fd7ad3,0.93,medium,383.1,Q2 - Action automatisée,Email automatisé de relance
A-186a44,0.24,low,1499.2142857142858,Q4 - Stable,Aucune action prioritaire
